"version_full";"description";"date (yyyy-mm-dd)"
"8.0.2040";"FIX: Not all memory is available when AWE is enabled on a computer that is running a 32-bit version of SQL Server 2000 SP4";"2006-08-15"
"8.0.2050";"MS08-040: Description of the security update for SQL Server 2000 GDR and MSDE 2000: July 8, 2008";"2008-07-08"
"8.0.2055";"MS09-004: Vulnerabilities in Microsoft SQL Server could allow remote code execution";"2009-02-10"
"8.0.2065";"MS12-027: Description of the security update for Microsoft SQL Server 2000 Service Pack 4 GDR: April 10, 2012";"2012-04-10"
"8.0.2066";"Microsoft Security Bulletin MS12-060";"2012-08-14"
"8.0.2145";"FIX: A query that uses a view that contains a correlated subquery and an aggregate runs slowly";"2005-10-25"
"8.0.2147";"FIX: You may experience slow server performance when you start a trace in an instance of SQL Server 2000 that runs on a computer that has more than four processors";"2006-06-01"
"8.0.2148";"FIX: An access violation may occur when you run a SELECT query and the NO_BROWSETABLE option is set to ON in Microsoft SQL Server 2000";"2006-07-25"
"8.0.2151";"FIX: You receive an ""Error: 8526, Severity: 16, State: 2"" error message in SQL Profiler when you use SQL Query Analyzer to start or to enlist into a distributed transaction after you have installed SQL Server 2000 SP4";"2006-07-25"
"8.0.2156";"FIX: You receive an error message when you try to rebuild the master database after you have installed hotfix builds in SQL Server 2000 SP4 64-bit";"2006-07-25"
"8.0.2159";"FIX: You may experience concurrency issues when you run the DBCC INDEXDEFRAG statement in SQL Server 2000";"2006-07-26"
"8.0.2162";"A cumulative hotfix package is available for SQL Server 2000 Service Pack 4 build 2162";"2006-09-15"
"8.0.2166";"FIX: An error message is logged, and new diagnostics do not capture the thread stack when the SQL Server User Mode Scheduler (UMS) experiences a nonyielding thread in SQL Server 2000 Service Pack 4";"2006-07-26"
"8.0.2168";"FIX: An error occurs when you try to access the Analysis Services performance monitor counter object after you apply Windows Server 2003 SP1";"2006-11-21"
"8.0.2171";"FIX: Automatic checkpoints on some SQL Server 2000 databases do not run as expected";"2006-07-26"
"8.0.2172";"FIX: When you query a view that was created by using the VIEW_METADATA option, an access violation may occur in SQL Server 2000";"2006-07-26"
"8.0.2175";"FIX: No rows may be returned, and you may receive an error message when you try to import SQL Profiler trace files into tables by using the fn_trace_gettable function in SQL Server 2000";"2006-07-26"
"8.0.2180";"FIX: The password that you specify in a BACKUP statement appears in the SQL Server Errorlog file or in the Application event log if the BACKUP statement does not run in SQL Server 2000";"2007-02-19"
"8.0.2187";"FIX: A deadlock occurs when the scheduled SQL Server Agent job that you add or that you update is running in SQL Server 2000";"2007-06-18"
"8.0.2189";"FIX: An access violation may occur when you run a query on a table that has a multicolumn index in SQL Server 2000";"2006-07-26"
"8.0.2191";"FIX: Error message when you run SQL Server 2000: ""Failed assertion = 'lockFound == TRUE'""";"2006-07-26"
"8.0.2192";"FIX: You may notice a decrease in performance when you run a query that uses the UNION ALL operator in SQL Server 2000 Service Pack 4";"2006-08-04"
"8.0.2194";"FIX: Error 17883 is logged in the SQL Server error log, and the instance of SQL Server 2000 temporarily stops responding";"2007-02-21"
"8.0.2196";"FIX: A memory leak occurs when you run a remote query by using a linked server in SQL Server 2000";"2006-08-14"
"8.0.2197";"FIX: Each query takes a long time to compile when you execute a single query or when you execute multiple concurrent queries in SQL Server 2000";"2006-08-02"
"8.0.2199";"FIX: SQL Server 2000 may take a long time to complete the synchronization phase when you create a merge publication";"2006-07-26"
"8.0.2201";"FIX: Error message when you try to run a query on a linked server in SQL Server 2000";"2006-08-21"
"8.0.2207";"FIX: A SQL Server 2000 session may be blocked for the whole time that a Snapshot Agent job runs";"2006-08-28"
"8.0.2209";"The Knowledge Base (KB) Article You Requested Is Currently Not Available";""
"8.0.2215";"FIX: Data in a subscriber of a merge publication in SQL Server 2000 differs from the data in the publisher";"2007-01-12"
"8.0.2217";"FIX: You cannot stop the SQL Server service, or many minidump files and many log files are generated in SQL Server 2000";"2007-10-25"
"8.0.2218";"FIX: The result may be sorted in the wrong order when you run a query that uses the ORDER BY clause to sort a column in a table in SQL Server 2000";"2007-06-19"
"8.0.2223";"FIX: The server stops responding, the performance is slow, and a time-out occurs in SQL Server 2000";"2007-07-20"
"8.0.2226";"FIX: You may experience one or more symptoms when you run a ""CREATE INDEX"" statement on an instance of SQL Server 2000";"2006-11-20"
"8.0.2229";"FIX: Error message when you create a merge replication for tables that have computed columns in SQL Server 2000 Service Pack 4: ""The process could not log conflict information""";"2007-07-24"
"8.0.2231";"FIX: The Sqldumper.exe utility cannot generate a filtered SQL Server dump file when you use the Remote Desktop Connection service or Terminal Services to connect to a Windows 2000 Server-based computer in SQL Server 2000";"2007-06-19"
"8.0.2232";"FIX: SQL Server 2000 stops responding when you cancel a query or when a query time-out occurs, and error messages are logged in the SQL Server error log file";"2007-01-15"
"8.0.2234";"FIX: Error messages when you try to update table rows or insert table rows into a table in SQL Server 2000: ""644"" or ""2511""";"2007-02-22"
"8.0.2236";"FIX: CPU utilization may approach 100 percent on a computer that is running SQL Server 2000 after you run the BACKUP DATABASE statement or the BACKUP LOG statement";"2007-02-02"
"8.0.2238";"FIX: The merge agent fails intermittently when you use merge replication that uses a custom resolver after you install SQL Server 2000 Service Pack 4";"2007-02-21"
"8.0.2242";"FIX: In SQL Server 2000, the synchronization process is slow, and the CPU usage is high on the computer that is configured as the Distributor";"2007-03-28"
"8.0.2244";"FIX: A hotfix for Microsoft SQL Server 2000 Service Pack 4 may not update all the necessary files on an x64-based computer";"2007-05-10"
"8.0.2245";"FIX: You may receive an assertion or database corruption may occur when you use the bcp utility or the ""Bulk Insert"" Transact-SQL command to import data in SQL Server 2000";"2007-04-24"
"8.0.2246";"An updated version of Sqlvdi.dll is now available for SQL Server 2000";"2007-06-18"
"8.0.2248";"FIX: The foreign key that you created between two tables does not work after you run the CREATE INDEX statement in SQL Server 2000";"2007-06-14"
"8.0.2249";"FIX: An access violation may occur when you try to log in to an instance of SQL Server 2000";"2007-05-25"
"8.0.2253";"FIX: The CPU utilization may suddenly increase to 100 percent when there are many connections to an instance of SQL Server 2000 on a computer that has multiple processors";"2007-10-09"
"8.0.2265";"FIX: The data on the publisher does not match the data on the subscriber when you synchronize a SQL Server 2005 Mobile Edition subscriber with a SQL Server 2000 ""merge replication"" publisher";"2007-12-19"
"8.0.2271";"FIX: The SPACE function always returns one space in SQL Server 2000 if the SPACE function uses a collation that differs from the collation of the current database";"2008-03-12"
"8.0.2273";"MS08-040: Description of the security update for SQL Server 2000 QFE and MSDE 2000 July 8, 2008";"2008-08-05"
"8.0.2279";"FIX: When you run the SPSBackup.exe utility to back up a SQL Server 2000 database that is configured as a back-end database for a Windows SharePoint Services server, the backup operation fails";"2009-04-08"
"8.0.2282";"MS09-004: Description of the security update for SQL Server 2000 QFE and for MSDE 2000: February 10, 2009";"2009-02-10"
"8.0.2283";"FIX: An access violation occurs when you run a DELETE statement or an UPDATE statement in the Itanium-based versions of SQL Server 2000 after you install security update MS09-004";"2009-06-15"
"8.0.2301";"MS12-027: Description of the security update for Microsoft SQL Server 2000 Service Pack 4 QFE: April 10, 2012";"2012-04-10"
"8.0.2305";"MS12-060: Description of the security update for SQL Server 2000 Service Pack 4 QFE: August 14, 2012";"2012-08-14"
"9.0.1399";"SQL Server 2005 RTM";"2005-11-07"
"9.0.1406";"FIX: A script task or a script component may not run correctly when you run an SSIS package in SQL Server 2005 build 1399";"2007-07-11"
"9.0.1500";"FIX: Error message when you run certain queries or certain stored procedures in SQL Server 2005: ""A severe error occurred on the current command""";"2006-06-01"
"9.0.1502";"FIX: You cannot restore the log backups on the mirror server after you remove database mirroring for the mirror database in SQL Server 2005";"2006-07-26"
"9.0.1503";"FIX: You may receive an access violation error message when you run a SELECT query in SQL Server 2005";"2006-07-26"
"9.0.1514";"FIX: The replication on the server does not work any longer when you manually fail over databases in SQL Server 2005";"2006-07-26"
"9.0.1518";"FIX: A SQL Server login may have more permissions when you log on to an instance of SQL Server 2005";"2006-09-22"
"9.0.1519";"FIX: The merge agent does not use a specified custom user update to handle conflicting UPDATE statements in SQL Server 2005";"2007-01-20"
"9.0.1528";"FIX: When you start a merge agent, synchronization between the subscriber and the publisher takes a long time to be completed in SQL Server 2005";"2007-01-15"
"9.0.1531";"FIX: The internal deadlock monitor may not detect a deadlock between two or more sessions in SQL Server 2005";"2006-07-26"
"9.0.1532";"FIX: Indexes may grow very large when you insert a row into a table and then update the same row in SQL Server 2005";"2007-01-09"
"9.0.1533";"FIX: Errors may be generated in the tempdb database when you create and then drop many temporary tables in SQL Server 2005";"2006-07-26"
"9.0.1534";"FIX: When you run the ""dbcc dbreindex"" command or the ""alter index"" command, some transactions are not replicated to the subscribers in a transactional replication in SQL Server 2005";"2007-05-15"
"9.0.1536";"FIX: The monitor server does not monitor all primary servers and secondary servers when you configure log shipping in SQL Server 2005";"2006-07-26"
"9.0.1538";"FIX: The SQL Server 2005 SqlCommandBuilder.DeriveParameters method returns an exception when the input parameter is a XML parameter that has an associated XSD from an SQL schema";"2006-07-26"
"9.0.1539";"FIX: SQL Server 2005 system performance may be slow when you use a keyset-driven cursor to execute a FETCH statement";"2006-08-11"
"9.0.1541";"FIX: Error message when you use a server-side cursor to run a large complex query in SQL Server 2005: ""Error: 8623, Severity: 16, State: 1 The query processor ran out of internal resources""";"2006-11-22"
"9.0.1545";"FIX: SQL Server 2005 performance may be slower than SQL Server 2000 performance when you use an API server cursor";"2006-08-14"
"9.0.1547";"FIX: You notice additional random trailing character in values when you retrieve the values from a fixed-size character column or a fixed-size binary column of a table in SQL Server 2005";"2006-11-20"
"9.0.1550";"FIX: The value of the automatic growth increment of a database file may be very large in SQL Server 2005";"2006-07-26"
"9.0.1551";"FIX: Error message when you schedule some SQL Server 2005 Integration Services packages to run as jobs: ""Package <PackageName> has been cancelled""";"2007-01-22"
"9.0.1554";"FIX: When you query through a view that uses the ORDER BY clause in SQL Server 2005, the result is still returned in random order";"2007-06-26"
"9.0.1558";"FIX: Error message when you restore a transaction-log backup that is generated in SQL Server 2000 SP4 to an instance of SQL Server 2005: ""Msg 3456, Level 16, State 1, Line 1. Could not redo log record""";"2007-01-04"
"9.0.1561";"FIX: A script task or a script component may not run correctly when you run an SSIS package in SQL Server 2005 build 1500 and later builds";"2007-07-11"
"9.0.2029";"SQL Server 2005 Service Pack 1 (SP1) Beta";""
"9.0.2040";"SQL Server 2005 Service Pack 1 (SP1) CTP March 2006";"2006-03-12"
"9.0.2047";"SQL Server 2005 Service Pack 1 (SP1)";"2006-04-18"
"9.0.2050";"FIX: A script task or a script component may not run correctly when you run an SSIS package in SQL Server 2005 build 2047";"2007-07-11"
"9.0.2153";"Cumulative hotfix package (build 2153) for SQL Server 2005 is available";"2006-09-14"
"9.0.2156";"FIX: The value of the automatic growth increment of a database file may be very large in SQL Server 2005 with Service Pack 1";"2006-07-26"
"9.0.2164";"FIX: Some rows in the Text Data column are always displayed for a trace that you create by using SQL Server Profiler in SQL Server 2005";"2007-02-08"
"9.0.2167";"FIX: SQL Server 2005 treats an identity column in a view as an ordinary int column when the compatibility level of the database is set to 80";"2006-08-09"
"9.0.2174";"FIX: You may notice a large increase in compile time when you enable trace flags 2389 and 2390 in SQL Server 2005 Service Pack 1";"2006-07-25"
"9.0.2175";"FIX: The color and the background image may not appear when you try to display a report in HTML format in Report Manager in SQL Server 2005 Reporting Services";"2006-08-08"
"9.0.2176";"FIX: Error message when you use SQL Server 2005: ""High priority system task thread Operating system error Exception 0xAE encountered""";"2007-02-12"
"9.0.2181";"FIX: A deadlock occurs and a query never finishes when you run the query on a computer that is running SQL Server 2005 and has multiple processors";"2007-02-19"
"9.0.2187";"FIX: When you run a query that references a partitioned table in SQL Server 2005, query performance may decrease";"2006-09-22"
"9.0.2189";"FIX: You may receive different date values for each row when you use the getdate function within a case statement in SQL Server 2005";"2006-09-22"
"9.0.2190";"FIX: Error message when you call the SQLTables function against an instance of SQL Server 2005: ""Invalid cursor state (0)""";"2006-10-16"
"9.0.2191";"FIX: An empty string is replicated as a NULL value when you synchronize a table to a SQL Server 2005 Compact Edition subscriber";"2006-12-06"
"9.0.2192";"FIX: Error message when you use a table-valued function (TVF) together with the CROSS APPLY operator in a query in SQL Server 2005: ""There is insufficient system memory to run this query""";"2006-09-29"
"9.0.2194";"FIX: Error message when you try to use a SQL Server authenticated login to log on to an instance of SQL Server 2005: ""Logon error: 18456""";"2006-10-20"
"9.0.2195";"FIX: SQL Server 2005 may stop responding when you use the SqlBulkCopy class to import data from another data source";"2006-12-19"
"9.0.2196";"Fix: Error message when you convert a column from the varbinary(max) data type to the XML data type in SQL Server 2005: ""Msg 6322, Level 16, State 1, Line 2 Too many attributes or namespace definitions""";"2006-11-10"
"9.0.2198";"FIX: You may receive incorrect results when you query a table that is published in a transactional replication in SQL Server 2005";"2007-02-21"
"9.0.2201";"FIX: Updates to the SQL Server Mobile subscriber may not be reflected in the SQL Server 2005 merge publication";"2007-01-10"
"9.0.2202";"FIX: Some search results are missing when you perform a full-text search operation on a Windows SharePoint Services 2.0 site after you upgrade to SQL Server 2005";"2007-02-16"
"9.0.2206";"FIX: You may receive an error message when you run a CLR stored procedure or CLR function that uses a context connection in SQL Server 2005";"2007-02-01"
"9.0.2207";"FIX: The changes are not reflected in the publication database after you reinitialize the subscriptions in SQL Server 2005";"2006-12-19"
"9.0.2208";"FIX: A memory leak may occur every time that you synchronize a SQL Server Mobile subscriber in SQL Server 2005";"2007-01-09"
"9.0.2209";"FIX: SQL Server 2005 may not perform histogram amendments when you use trace flags 2389 and 2390";"2007-02-07"
"9.0.2211";"FIX: You receive error 1456 when you try to add a witness to a DBM session in SQL Server 2005";"2007-02-20"
"9.0.2214";"FIX: Error message when you run DML statements against a table that is published for merge replication in SQL Server 2005: ""Could not find stored procedure""";"2007-02-19"
"9.0.2216";"FIX: High CPU utilization by SQL Server 2005 may occur when you use NUMA architecture on a computer that has an x64-based version of SQL Server 2005 installed";"2007-05-15"
"9.0.2218";"FIX: SQL Server 2005 does not reclaim the disk space that is allocated to the temporary table if the stored procedure is stopped";"2007-04-25"
"9.0.2219";"FIX: The ghost row clean-up thread does not remove ghost rows on some data files of a database in SQL Server 2005";"2007-04-25"
"9.0.2221";"FIX: A script task or a script component may not run correctly when you run an SSIS package in SQL Server 2005 build 2153 and later builds";"2007-07-11"
"9.0.2223";"FIX: You may experience poor performance after you install SQL Server 2005 Service Pack 1";"2007-06-18"
"9.0.2226";"FIX: Error message when the Replication Merge Agent runs to synchronize a merge replication subscription in SQL Server 2005: ""The merge process failed to execute a query because the query timed out""";"2007-06-22"
"9.0.2227";"FIX: You may receive error 1203 when you run an INSERT statement against a table that has an identity column in SQL Server 2005";"2007-06-26"
"9.0.2229";"FIX: You receive error messages when you use the BULK INSERT statement in SQL Server 2005 to import data in bulk";"2007-06-11"
"9.0.2230";"FIX: Error message when you use SQL Native Client to connect to an instance of a principal server in a database mirroring session: ""The connection attempted to fail over to a server that does not have a failover partner""";"2007-09-20"
"9.0.2231";"FIX: You cannot bring the SQL Server group online in a cluster environment after you rename the virtual server name of the default instance of SQL Server 2005";"2007-11-06"
"9.0.2232";"FIX: A memory leak occurs when you use the sp_OAMethod stored procedure to call a method of a COM object in SQL Server 2005";"2007-06-19"
"9.0.2233";"FIX: Error message when you use the BULK INSERT statement to import a data file into a table in SQL Server 2005 with SP1: ""The OLE DB provider ""BULK"" for linked server ""(null)"" reported an error""";"2007-06-18"
"9.0.2234";"FIX: SQL Server 2005 stops and then restarts unexpectedly and errors occur in the tempdb database";"2007-06-20"
"9.0.2236";"FIX: Error message when you use Service Broker in SQL Server 2005: ""An error occurred while receiving data: '64(The specified network name is no longer available.)'""";"2007-07-29"
"9.0.2237";"FIX: A memory leak occurs when you call the Initialize method and the Terminate method of the SQLDistribution object in a loop in an application that you develop by using Microsoft ActiveX replication controls in SQL Server 2005";"2007-09-24"
"9.0.2239";"FIX: Transactions that are being committed on the principal server may not be copied to the mirror server when a database mirroring failover occurs in SQL Server 2005";"2007-09-24"
"9.0.3026";"FIX: A ""17187"" error message may be logged in the Errorlog file when an instance of SQL Server 2005 is under a heavy load";"2007-02-14"
"9.0.3027";"SQL Server 2005 Service Pack 2 (SP2) - CTP November 2006";"2006-11-06"
"9.0.3033";"SQL Server 2005 Service Pack 2 (SP2) - CTP December 2006";"2006-12-19"
"9.0.3042";"SQL Server 2005 Service Pack 2 (SP2)";"2007-02-19"
"9.0.3050";"Microsoft SQL Server 2005 Service Pack 2 issue: Cleanup tasks run at different intervals than intended";"2007-03-07"
"9.0.3054";"FIX: The Check Database Integrity task and the Execute T-SQL Statement task in a maintenance plan may lose database context in certain circumstances in SQL Server 2005 builds 3042 through 3053";"2008-01-02"
"9.0.3068";"MS08-040: Vulnerabilities in Microsoft SQL Server could allow elevation of privilege";"2008-08-05"
"9.0.3073";"MS08-052: Description of the security update for GDI+ for SQL Server 2005 Service Pack 2 GDR: September 9, 2008";"2008-09-09"
"9.0.3077";"MS09-004: Description of the security update for SQL Server 2005 GDR: February 10, 2009";"2009-02-10"
"9.0.3080";"MS09-062: Description of the security update for GDI+ for SQL Server 2005 Service Pack 2 GDR: October 13, 2009";"2009-10-13"
"9.0.3152";"Cumulative hotfix package (build 3152) for SQL Server 2005 Service Pack 2 is available";"2007-03-07"
"9.0.3153";"FIX: A gradual increase in memory consumption for the USERSTORE_TOKENPERM cache store occurs in SQL Server 2005";"2007-04-16"
"9.0.3154";"FIX: The Distribution Agent does not deliver commands to the Subscriber even if the Distribution Agent is running in SQL Server 2005";"2007-04-25"
"9.0.3155";"FIX: Error message when you run a query that contains nested FOR XML clauses in SQL Server 2005: ""The XML data type is damaged""";"2007-06-13"
"9.0.3156";"FIX: Error message when you try to use Database Mail to send an e-mail message in SQL Server 2005: ""profile name is not valid (Microsoft SQL Server, Error 14607)""";"2007-04-25"
"9.0.3159";"FIX: The Check Database Integrity task and the Execute T-SQL Statement task in a maintenance plan may lose database context in certain circumstances in SQL Server 2005 builds 3150 through 3158";"2007-04-03"
"9.0.3161";"FIX: On a computer that is running SQL Server 2005 and that has multiple processors, you may receive incorrect results when you run a query that contains an inner join";"2007-09-24"
"9.0.3166";"FIX: Blocking and performance problems may occur when you enable trace flag 1118 in SQL Server 2005 if the temporary table creation workload is high";"2007-06-11"
"9.0.3169";"FIX: Error message when you run a linked server query in SQL Server 2005: ""The oledbprovider unisys.dmsII.1 for linkserver '<ServerName>' reported an error the provider ran out of memory""";"2007-06-19"
"9.0.3171";"FIX: You may receive error messages when you try to log in to an instance of SQL Server 2005 and SQL Server handles many concurrent connections";"2007-07-16"
"9.0.3175";"FIX: Error message when the Distribution Agent tries to apply the snapshot to the subscriber in SQL Server 2005: ""Must declare the scalar variable ""@Variable""""";"2007-08-20"
"9.0.3177";"FIX: Error message when you run a stored procedure that starts a transaction that contains a Transact-SQL statement in SQL Server 2005: ""New request is not allowed to start because it should come with valid transaction descriptor""";"2007-08-22"
"9.0.3178";"FIX: A SQL Server Agent job fails when you run the SQL Server Agent job in the context of a proxy account in SQL Server 2005";"2007-08-22"
"9.0.3179";"FIX: Error message when you run a full-text query against a catalog in SQL Server 2005: ""The execution of a full-text query failed. The content index is corrupt.""";"2007-07-30"
"9.0.3182";"FIX: You receive error 8623 when you run a complex query in SQL Server 2005";"2007-08-03"
"9.0.3186";"FIX: The performance of a query that performs an insert operation or an update operation is much slower in SQL Server 2005 SP2 than in earlier versions of SQL Server 2005";"2007-08-29"
"9.0.3194";"FIX: Some changes from subscribers who use SQL Server 2005 Compact Edition or Web synchronization are not uploaded to the publisher when you use the republishing model in a merge publication in Microsoft SQL Server 2005";"2007-09-24"
"9.0.3200";"Cumulative update package 4 (CU4) for SQL Server 2005 Service Pack 2";"2007-10-17"
"9.0.3206";"FIX: Conflicts are not logged when you use the Microsoft SQL Server Subscriber Always Wins Conflict Resolver for an article in a merge replication in Microsoft SQL Server 2005";"2007-12-11"
"9.0.3208";"FIX: A federated database server stops responding when you run parallel queries on a multiprocessor computer that uses NUMA architecture in SQL Server 2005";"2007-11-21"
"9.0.3215";"Cumulative update package 5 (CU5) for SQL Server 2005 Service Pack 2";"2007-12-18"
"9.0.3221";"FIX: The change may be undone during the later synchronizations when you change an article on the subscriber in SQL Server 2005";"2008-01-31"
"9.0.3224";"FIX: A stored procedure cannot finish its execution in SQL Server 2005";"2008-02-04"
"9.0.3228";"Cumulative update package 6 (CU6) for SQL Server 2005 Service Pack 2";"2008-02-19"
"9.0.3230";"FIX: Error message when you run queries on a database that has the SNAPSHOT isolation level enabled in SQL Server 2005: ""Unable to deallocate a kept page""";"2008-03-07"
"9.0.3231";"FIX: Error message when you run a query that uses a join condition in SQL Server 2005: ""Non-yielding Scheduler""";"2008-03-18"
"9.0.3232";"FIX: Error message when you synchronize the data of a merge replication in SQL Server 2005: ""The merge process is retrying a failed operation made to article 'ArticleName' - Reason: 'Invalid input parameter values. Check the status values for detail.'""";"2008-03-19"
"9.0.3239";"Cumulative update package 7 (CU7) for SQL Server 2005 Service Pack 2";"2008-04-17"
"9.0.3240";"FIX: An access violation occurs when you update a table through a view by using a cursor in SQL Server 2005";"2008-05-21"
"9.0.3244";"FIX: The Replication Log Reader Agent may fail intermittently when a transactional replication synchronizes data in SQL Server 2005";"2008-06-03"
"9.0.3246";"FIX: All the MDX queries that are running on an instance of SQL Server 2005 Analysis Services are canceled when you start or stop a SQL Server Profiler trace for the instance";"2008-05-23"
"9.0.3257";"Cumulative update package 8 (CU8) for SQL Server 2005 Service Pack 2";"2008-06-18"
"9.0.3259";"FIX: In SQL Server 2005, the session that runs the TRUNCATE TABLE statement may stop responding, and you cannot end the session";"2008-08-14"
"9.0.3260";"FIX: Error message when you run a distributed query in SQL Server 2005: ""OLE DB provider 'SQLNCLI' for linked server '<Linked Server>' returned message 'No transaction is active'""";"2008-07-14"
"9.0.3282";"Cumulative update package 9 (CU9) for SQL Server 2005 Service Pack 2";"2008-06-16"
"9.0.3294";"Cumulative update package 10 (CU10) for SQL Server 2005 Service Pack 2";"2008-10-20"
"9.0.3301";"Cumulative update package 11 (CU11) for SQL Server 2005 Service Pack 2";"2008-12-16"
"9.0.3310";"MS09-004: Description of the security update for SQL Server 2005 QFE: February 10, 2009";"2009-02-10"
"9.0.3315";"Cumulative update package 12 (CU12) for SQL Server 2005 Service Pack 2";"2009-02-17"
"9.0.3318";"FIX: The Wmiprvse.exe host process stops responding when you run a SQL Server 2005-based application that sends a Windows Management Instrumentation (WMI) query to the SQL Server WMI provider";"2009-04-20"
"9.0.3320";"FIX: Error message when you run the DBCC CHECKDB statement on a database in SQL Server 2005: ""Unable to deallocate a kept page""";"2009-04-01"
"9.0.3325";"Cumulative update package 13 (CU13) for SQL Server 2005 Service Pack 2";"2009-04-20"
"9.0.3328";"Cumulative update package 14 (CU14) for SQL Server 2005 Service Pack 2";"2009-06-16"
"9.0.3330";"Cumulative update package 15 (CU15) for SQL Server 2005 Service Pack 2";"2009-08-18"
"9.0.3353";"MS09-062: Description of the security update for SQL Server 2005 Service Pack 2 QFE: October 13, 2009";"2009-10-13"
"9.0.3355";"Cumulative update package 16 (CU16) for SQL Server 2005 Service Pack 2";"2009-10-19"
"9.0.3356";"Cumulative update package 17 (CU17) for SQL Server 2005 Service Pack 2";"2009-12-21"
"9.0.4028";"SQL Server 2005 Service Pack 3 (SP3) - CTP";"2008-10-27"
"9.0.4035";"SQL Server 2005 Service Pack 3 (SP3)";"2008-12-15"
"9.0.4053";"MS09-062: Description of the security update for SQL Server 2005 Service Pack 3 GDR: October 13, 2009";"2009-10-13"
"9.0.4060";"MS11-049: Description of the security update for SQL Server 2005 Service Pack 3 GDR: June 14, 2011";"2011-06-14"
"9.0.4207";"Cumulative update package 1 (CU1) for SQL Server 2005 Service Pack 3";"2008-12-20"
"9.0.4211";"Cumulative update package 2 (CU2) for SQL Server 2005 Service Pack 3";"2009-02-17"
"9.0.4216";"FIX: The performance of database mirroring decreases when you run a database maintenance job that generates a large number of transaction log activities in SQL Server 2005";"2009-04-20"
"9.0.4220";"Cumulative update package 3 (CU3) for SQL Server 2005 Service Pack 3";"2009-04-20"
"9.0.4224";"FIX: Error message when you run a query that contains duplicate join conditions in SQL Server 2005: ""Internal Query Processor Error: The query processor could not produce a query plan""";"2009-06-16"
"9.0.4226";"Cumulative update package 4 (CU4) for SQL Server 2005 Service Pack 3";"2009-06-16"
"9.0.4230";"Cumulative update package 5 (CU5) for SQL Server 2005 Service Pack 3";"2009-08-17"
"9.0.4262";"MS09-062: Description of the security update for SQL Server 2005 Service Pack 3 QFE: October 13, 2009";"2009-10-13"
"9.0.4266";"Cumulative update package 6 (CU6) for SQL Server 2005 Service Pack 3";"2009-10-19"
"9.0.4268";"FIX: Error message when you add a subscription to a republisher that is in a merge publication in SQL Server 2005: ""Cannot create the subscription because the subscription already exists in the subscription database""";"2009-12-21"
"9.0.4273";"Cumulative update package 7 (CU7) for SQL Server 2005 Service Pack 3";"2009-12-21"
"9.0.4285";"Cumulative update package 8 (CU8) for SQL Server 2005 Service Pack 3";"2010-02-16"
"9.0.4294";"Cumulative update package 9 (CU9) for SQL Server 2005 Service Pack 3";"2010-04-19"
"9.0.4305";"Cumulative update package 10 (CU10) for SQL Server 2005 Service Pack 3";"2010-06-23"
"9.0.4309";"Cumulative update package 11 (CU11) for SQL Server 2005 Service Pack 3";"2010-08-16"
"9.0.4311";"Cumulative update package 12 (CU12) for SQL Server 2005 Service Pack 3";"2010-10-18"
"9.0.4315";"Cumulative update package 13 (CU13) for SQL Server 2005 Service Pack 3";"2010-12-23"
"9.0.4317";"Cumulative update package 14 (CU14) for SQL Server 2005 Service Pack 3";"2011-02-21"
"9.0.4325";"Cumulative update package 15 (CU15) for SQL Server 2005 Service Pack 3";"2011-03-22"
"9.0.4340";"MS11-049: Description of the security update for SQL Server 2005 Service Pack 3 QFE: June 14, 2011";"2011-06-14"
"9.0.4342";"FIX: SQL Server Agent job randomly stops when you schedule the job to run past midnight on specific days in SQL Server 2005, in SQL Server 2008 or in SQL Server 2008 R2";"2012-05-21"
"9.0.4912";"SQL Server 2005 Service Pack 4 (SP4) - Customer Technology Preview (CTP)";"2010-11-03"
"9.0.5000";"SQL Server 2005 Service Pack 4 (SP4)";"2010-12-17"
"9.0.5057";"MS11-049: Description of the security update for SQL Server 2005 Service Pack 4 GDR: June 14, 2011";"2011-06-14"
"9.0.5069";"Microsoft Security Bulletin MS12-070";"2012-10-09"
"9.0.5254";"Cumulative update package 1 (CU1) for SQL Server 2005 Service Pack 4";"2010-12-24"
"9.0.5259";"Cumulative update package 2 (CU2) for SQL Server 2005 Service Pack 4";"2011-02-22"
"9.0.5266";"Cumulative update package 3 (CU3) for SQL Server 2005 Service Pack 4";"2011-03-22"
"9.0.5292";"MS11-049: Description of the security update for SQL Server 2005 Service Pack 4 QFE: June 14, 2011";"2011-06-14"
"9.0.5294";"FIX: Error 5180 when you use the ONLINE option to rebuild an index in SQL Server 2005";"2011-08-10"
"9.0.5295";"FIX: SQL Server Agent job randomly stops when you schedule the job to run past midnight on specific days in SQL Server 2005, in SQL Server 2008 or in SQL Server 2008 R2";"2012-05-21"
"9.0.5296";"FIX: ""Msg 7359"" error when a view uses another view in SQL Server 2005 if the schema version of a remote table is updated";"2011-10-24"
"9.0.5324";"MS12-070: Description of the security update for SQL Server 2005 Service Pack 4 QFE";"2012-10-09"
"10.0.1019.17";"SQL Server 2008 CTP, June 2007";"2007-05-21"
"10.0.1049.14";"SQL Server 2008 CTP, July 2007";"2007-07-31"
"10.0.1075.23";"Microsoft SQL Server 2008 CTP, November 2007";"2007-11-18"
"10.0.1300.13";"Microsoft SQL Server 2008 CTP, February 2008";"2008-02-19"
"10.0.1442.32";"Microsoft SQL Server 2008 RC0";"2008-06-05"
